tag,sequence
netincome,1
netincomediscontinued,2
netincomecontinuing,3
provisionforloanlosses,4
depreciationexpense,5
amortizationexpense,6
noncashadjustmentstonetincome,7
increasedecreaseinoperatingcapital,8
netcashfromcontinuingoperatingactivities,9
netcashfromdiscontinuedoperatingactivities,10
netcashfromoperatingactivities,11
purchaseofplantpropertyandequipment,12
acquisitions,13
purchaseofinvestments,14
saleofplantpropertyandequipment,15
divestitures,16
saleofinvestments,17
netincreaseinfedfundssold,18
loansheldforsalenet,19
otherinvestingactivitiesnet,20
netcashfromcontinuinginvestingactivities,21
netcashfromdiscontinuedinvestingactivities,22
netcashfrominvestingactivities,23
netchangeindeposits,24
issuanceofdebt,25
issuanceofpreferredequity,26
issuanceofcommonequity,27
repaymentofdebt,28
repurchaseofpreferredequity,29
repurchaseofcommonequity,30
paymentofdividends,31
otherfinancingactivitiesnet,32
netcashfromcontinuingfinancingactivities,33
netcashfromdiscontinuedfinancingactivities,34
netcashfromfinancingactivities,35
effectofexchangeratechanges,36
othernetchangesincash,37
netchangeincash,38
cashinterestpaid,39
cashinterestreceived,40
cashincometaxespaid,41
