tag,sequence
loansandleaseinterestincome,1
investmentsecuritiesinterestincome,2
depositsinterestincome,3
fedfundsandrepointerestincome,4
tradingaccountinterestincome,5
otherinterestincome,6
totalinterestincome,7
depositsinterestexpense,8
shorttermborrowinginterestexpense,9
longtermdebtinterestexpense,10
fedfundsandrepointerestexpense,11
capitalizedleaseobligationinterestexpense,12
otherinterestexpense,13
totalinterestexpense,14
netinterestincome,15
trustfeeincome,16
servicechargesondepositsincome,17
otherservicechargeincome,18
netrealizedcapitalgains,19
premiumsearned,20
investmentbankingincome,21
othernoninterestincome,22
totalnoninterestincome,23
totalrevenue,24
provisionforcreditlosses,25
salariesandemployeebenefitsexpense,26
netoccupancyequipmentexpense,27
marketingexpense,28
propertyliabilityinsuranceclaims,29
policyacquisitioncosts,30
amortizationofdeferredpolicyacquisitioncosts,31
currentandfuturebenefits,32
otheroperatingexpenses,33
depreciationexpense,34
amortizationexpense,35
impairmentexpense,36
restructuringcharge,37
otherspecialcharges,38
totalnoninterestexpense,39
nonoperatingincome,40
totalpretaxincome,41
incometaxexpense,42
othergains,43
netincomecontinuing,44
netincomediscontinued,45
extraordinaryincome,46
otheradjustmentstoconsolidatednetincome,47
netincome,48
preferreddividends,49
netincometononcontrollinginterest,50
otheradjustmentstonetincometocommon,51
netincometocommon,52
weightedavebasicsharesos,53
basiceps,54
dilutedeps,56
weightedavebasicdilutedsharesos,57
basicdilutedeps,58
cashdividendspershare,59
