,date,variable,value
0,1957-01-01,added_ticker,MMM
215,1957-01-01,added_ticker,GD
216,1957-01-01,added_ticker,GE
225,1957-01-01,added_ticker,HAL
227,1957-01-01,added_ticker,HOG
228,1957-01-01,added_ticker,HIG
234,1957-01-01,added_ticker,HSY
245,1957-01-01,added_ticker,HUM
246,1957-01-01,added_ticker,HBAN
256,1957-01-01,added_ticker,IBM
211,1957-01-01,added_ticker,FCX
258,1957-01-01,added_ticker,IP
277,1957-01-01,added_ticker,K
280,1957-01-01,added_ticker,KMB
283,1957-01-01,added_ticker,KLAC
284,1957-01-01,added_ticker,KSS
286,1957-01-01,added_ticker,KR
288,1957-01-01,added_ticker,LHX
292,1957-01-01,added_ticker,LEG
300,1957-01-01,added_ticker,L
303,1957-01-01,added_ticker,MTB
275,1957-01-01,added_ticker,JNPR
305,1957-01-01,added_ticker,M
210,1957-01-01,added_ticker,BEN
197,1957-01-01,added_ticker,FE
124,1957-01-01,added_ticker,CL
129,1957-01-01,added_ticker,COP
130,1957-01-01,added_ticker,ED
134,1957-01-01,added_ticker,GLW
141,1957-01-01,added_ticker,CVS
142,1957-01-01,added_ticker,DHI
143,1957-01-01,added_ticker,DHR
144,1957-01-01,added_ticker,DRI
146,1957-01-01,added_ticker,DE
204,1957-01-01,added_ticker,F
158,1957-01-01,added_ticker,D
164,1957-01-01,added_ticker,DD
168,1957-01-01,added_ticker,ETN
169,1957-01-01,added_ticker,EBAY
171,1957-01-01,added_ticker,EIX
175,1957-01-01,added_ticker,ETR
183,1957-01-01,added_ticker,ES
185,1957-01-01,added_ticker,EXC
189,1957-01-01,added_ticker,XOM
196,1957-01-01,added_ticker,FITB
161,1957-01-01,added_ticker,DTE
122,1957-01-01,added_ticker,KO
309,1957-01-01,added_ticker,MAR
317,1957-01-01,added_ticker,MCK
425,1957-01-01,added_ticker,SBUX
426,1957-01-01,added_ticker,STT
435,1957-01-01,added_ticker,TROW
437,1957-01-01,added_ticker,TPR
442,1957-01-01,added_ticker,TXN
444,1957-01-01,added_ticker,TMO
453,1957-01-01,added_ticker,TSN
456,1957-01-01,added_ticker,USB
459,1957-01-01,added_ticker,UNP
423,1957-01-01,added_ticker,SPGI
464,1957-01-01,added_ticker,UTX
477,1957-01-01,added_ticker,VNO
483,1957-01-01,added_ticker,WM
484,1957-01-01,added_ticker,WAT
490,1957-01-01,added_ticker,WU
491,1957-01-01,added_ticker,WRK
492,1957-01-01,added_ticker,WY
493,1957-01-01,added_ticker,WHR
497,1957-01-01,added_ticker,XEL
498,1957-01-01,added_ticker,XRX
475,1957-01-01,added_ticker,VIAB
314,1957-01-01,added_ticker,MKC
421,1957-01-01,added_ticker,SO
414,1957-01-01,added_ticker,SEE
319,1957-01-01,added_ticker,MRK
320,1957-01-01,added_ticker,MET
331,1957-01-01,added_ticker,MCO
332,1957-01-01,added_ticker,MS
334,1957-01-01,added_ticker,MSI
349,1957-01-01,added_ticker,NI
352,1957-01-01,added_ticker,NSC
353,1957-01-01,added_ticker,NTRS
361,1957-01-01,added_ticker,OMC
415,1957-01-01,added_ticker,SRE
367,1957-01-01,added_ticker,PAYX
374,1957-01-01,added_ticker,PFE
377,1957-01-01,added_ticker,PNW
380,1957-01-01,added_ticker,PPG
381,1957-01-01,added_ticker,PPL
383,1957-01-01,added_ticker,PG
387,1957-01-01,added_ticker,PEG
393,1957-01-01,added_ticker,QCOM
397,1957-01-01,added_ticker,RTN
405,1957-01-01,added_ticker,ROK
371,1957-01-01,added_ticker,PEP
107,1957-01-01,added_ticker,CVX
468,1957-01-01,added_ticker,VLO
94,1957-01-01,added_ticker,CAT
64,1957-01-01,added_ticker,BHGE
27,1957-01-01,added_ticker,MO
81,1957-01-01,added_ticker,BMY
88,1957-01-01,added_ticker,CPB
76,1957-01-01,added_ticker,BA
32,1957-01-01,added_ticker,AEP
1,1964-03-31,added_ticker,ABT
241,1964-03-31,added_ticker,HON
53,1964-03-31,added_ticker,ARNC
416,1964-06-30,added_ticker,SHW
140,1965-03-31,added_ticker,CMI
174,1965-03-31,added_ticker,EMR
412,1965-03-31,added_ticker,SLB
139,1967-09-30,added_ticker,CSX
217,1969-03-31,added_ticker,GIS
119,1969-03-31,added_ticker,CLX
343,1969-06-30,added_ticker,NEM
316,1970-06-30,added_ticker,MCD
295,1970-12-31,added_ticker,LLY
68,1972-09-30,added_ticker,BAX
70,1972-09-30,added_ticker,BDX
272,1973-06-30,added_ticker,JNJ
219,1973-12-31,added_ticker,GPC
244,1974-12-31,added_ticker,HPQ
494,1975-03-31,added_ticker,WMB
274,1975-06-30,added_ticker,JPM
260,1976-03-31,added_ticker,IFF
487,1976-06-30,added_ticker,WFC
66,1976-06-30,added_ticker,BAC
328,1976-06-30,added_ticker,TAP
162,1976-06-30,added_ticker,DUK
346,1976-06-30,added_ticker,NEE
111,1976-06-30,added_ticker,CI
296,1976-06-30,added_ticker,LNC
33,1976-06-30,added_ticker,AXP
482,1976-06-30,added_ticker,DIS
438,1976-12-31,added_ticker,TGT
254,1976-12-31,added_ticker,INTC
443,1978-12-31,added_ticker,TXT
467,1979-06-30,added_ticker,VFC
481,1979-12-31,added_ticker,WBA
34,1980-03-31,added_ticker,AIG
194,1980-12-31,added_ticker,FDX
364,1980-12-31,added_ticker,PCAR
60,1981-03-31,added_ticker,ADP
312,1981-06-30,added_ticker,MAS
224,1981-06-30,added_ticker,GWW
52,1981-07-29,added_ticker,ADM
480,1982-08-31,added_ticker,WMT
420,1982-09-30,added_ticker,SNA
424,1982-09-30,added_ticker,SWK
84,1982-10-31,added_ticker,BF.B
49,1982-11-30,added_ticker,AAPL
360,1982-12-31,added_ticker,OXY
127,1983-08-31,added_ticker,CAG
287,1983-09-30,added_ticker,LB
473,1983-11-30,added_ticker,VZ
58,1983-11-30,added_ticker,T
301,1984-02-29,added_ticker,LOW
389,1984-04-30,added_ticker,PHM
235,1984-05-31,added_ticker,HES
299,1984-07-31,added_ticker,LMT
229,1984-09-30,added_ticker,HAS
65,1984-10-31,added_ticker,BLL
486,1985-01-01,added_ticker,WCG
357,1985-04-30,added_ticker,NUE
13,1985-04-30,added_ticker,APD
