,cik,date,name,value,variable
183,0000072741,1957-01-01,Eversource Energy,ES,added_ticker
228,0000874766,1957-01-01,Hartford Financial Svc.Gp.,HIG,added_ticker
435,0001113169,1957-01-01,T. Rowe Price Group,TROW,added_ticker
349,0001111711,1957-01-01,NiSource Inc.,NI,added_ticker
185,0001109357,1957-01-01,Exelon Corp.,EXC,added_ticker
421,0000092122,1957-01-01,Southern Co.,SO,added_ticker
320,0001099219,1957-01-01,MetLife Inc.,MET,added_ticker
107,0000093410,1957-01-01,Chevron Corp.,CVX,added_ticker
426,0000093751,1957-01-01,State Street Corp.,STT,added_ticker
442,0000097476,1957-01-01,Texas Instruments,TXN,added_ticker
444,0000097745,1957-01-01,Thermo Fisher Scientific,TMO,added_ticker
453,0000100493,1957-01-01,Tyson Foods,TSN,added_ticker
459,0000100885,1957-01-01,Union Pacific Corp,UNP,added_ticker
464,0000101829,1957-01-01,United Technologies,UTX,added_ticker
169,0001065088,1957-01-01,eBay Inc.,EBAY,added_ticker
331,0001059556,1957-01-01,Moody's Corp,MCO,added_ticker
383,0000080424,1957-01-01,Procter & Gamble,PG,added_ticker
492,0000106535,1957-01-01,Weyerhaeuser,WY,added_ticker
380,0000079879,1957-01-01,PPG Industries,PPG,added_ticker
371,0000077476,1957-01-01,PepsiCo Inc.,PEP,added_ticker
258,0000051434,1957-01-01,International Paper,IP,added_ticker
277,0000055067,1957-01-01,Kellogg Co.,K,added_ticker
280,0000055785,1957-01-01,Kimberly-Clark,KMB,added_ticker
286,0000056873,1957-01-01,Kroger Co.,KR,added_ticker
292,0000058492,1957-01-01,Leggett & Platt,LEG,added_ticker
300,0000060086,1957-01-01,Loews Corp.,L,added_ticker
314,0000063754,1957-01-01,McCormick & Co.,MKC,added_ticker
423,0000064040,1957-01-01,"S&P Global, Inc.",SPGI,added_ticker
141,0000064803,1957-01-01,CVS Health,CVS,added_ticker
129,0001163165,1957-01-01,ConocoPhillips,COP,added_ticker
175,0000065984,1957-01-01,Entergy Corp.,ETR,added_ticker
0,0000066740,1957-01-01,3M Company,MMM,added_ticker
334,0000068505,1957-01-01,Motorola Solutions Inc.,MSI,added_ticker
497,0000072903,1957-01-01,Xcel Energy Inc,XEL,added_ticker
353,0000073124,1957-01-01,Northern Trust Corp.,NTRS,added_ticker
374,0000078003,1957-01-01,Pfizer Inc.,PFE,added_ticker
493,0000106640,1957-01-01,Whirlpool Corp.,WHR,added_ticker
498,0000108772,1957-01-01,Xerox,XRX,added_ticker
309,0001048286,1957-01-01,Marriott Int'l.,MAR,added_ticker
27,0000764180,1957-01-01,Altria Group Inc,MO,added_ticker
381,0000922224,1957-01-01,PPL Corp.,PPL,added_ticker
377,0000764622,1957-01-01,Pinnacle West Capital,PNW,added_ticker
387,0000788784,1957-01-01,Public Serv. Enterprise Inc.,PEG,added_ticker
227,0000793952,1957-01-01,Harley-Davidson,HOG,added_ticker
305,0000794367,1957-01-01,Macy's Inc.,M,added_ticker
393,0000804328,1957-01-01,QUALCOMM Inc.,QCOM,added_ticker
477,0000899689,1957-01-01,Vornado Realty Trust,VNO,added_ticker
483,0000823768,1957-01-01,Waste Management Inc.,WM,added_ticker
171,0000827052,1957-01-01,Edison Int'l,EIX,added_ticker
425,0000829224,1957-01-01,Starbucks Corp.,SBUX,added_ticker
332,0000895421,1957-01-01,Morgan Stanley,MS,added_ticker
284,0000885639,1957-01-01,Kohl's Corp.,KSS,added_ticker
211,0000831259,1957-01-01,Freeport-McMoRan Inc.,FCX,added_ticker
142,0000882184,1957-01-01,D. R. Horton,DHI,added_ticker
317,0000927653,1957-01-01,McKesson Corp.,MCK,added_ticker
