ticker,name
'XLB','Materials Select Sector SPDR Fund (XLB)'
'XLC','Communication Services Select Sector SPDR Fund (XLC)'
'XLE','Energy Select Sector SPDR Fund (XLE)'
'XLF','Financial Select Sector SPDR Fund (XLF)'
'XLI','Industrial Select Sector SPDR Fund (XLI)'
'XLK','The Technology Select Sector SPDR Fund (XLK)'
'XLP','Consumer Staples Select Sector SPDR Fund (XLP)'
'XLRE','The Real Estate Select Sector SPDR Fund (XLRE)'
'XLU','Utilities Select Sector SPDR Fund (XLU)'
'XLV','Health Care Select Sector SPDR Fund (XLV)'
'XLY','Consumer Discretionary Select Sector SPDR Fund (XLY)'
